step,wall_clock_s,lr,train_loss_ema,tokens_per_s,peak_mem_mb,val_loss,val_ppl,n_tokens,masked_loss,masked_ppl,masked_acc,n_masked_tokens,masked_loss_pos0,masked_loss_pos1,masked_loss_pos2,masked_loss_pos3,masked_loss_pos4
250,49.63,0.00029999932844052436,3.2961558548962056,897865.2,3680.2,3.2959772274763566,27.003786087036133,2009000,3.2972831268310547,27.039077758789062,0.032,1000,3.2972831268310547,nan,nan,nan,nan
500,62.7,0.00029997582456041454,3.2960439600046474,1206487.1,3647.3,3.295958032603285,27.003271102905273,2009000,3.296336975097656,27.013504028320312,0.05,1000,3.296336975097656,nan,nan,nan,nan
750,75.75,0.0002999187493875913,3.295999198222892,2463509.2,3647.3,3.295968050024888,27.003541946411133,2009000,3.2973523864746093,27.04094886779785,0.007,1000,3.2973523864746093,nan,nan,nan,nan
1000,88.77,0.00029982811711783624,3.2959936099283635,2468834.1,3647.3,3.2959320401941263,27.00257110595703,2009000,3.2949166412353517,26.97516441345215,0.035,1000,3.2949166412353517,nan,nan,nan,nan
1250,101.82,0.0002997039502932784,3.2959924976098773,2463431.3,3647.3,3.295967630039821,27.003528594970703,2009000,3.2950238494873045,26.978059768676758,0.041,1000,3.2950238494873045,nan,nan,nan,nan
1500,114.81,0.00029954627979678766,3.295974385669913,2473349.0,3647.3,3.295946506346441,27.002962112426758,2009000,3.296061752319336,27.006072998046875,0.047,1000,3.296061752319336,nan,nan,nan,nan
1750,127.84,0.00029935514484429314,3.2961328562411585,2467146.3,3647.3,3.2959651723494274,27.00346565246582,2009000,3.2958057250976562,26.99915885925293,0.049,1000,3.2958057250976562,nan,nan,nan,nan
2000,140.85,0.00029913059297502996,3.295971980757988,2471119.5,3647.3,3.2959727165256347,27.003671646118164,2009000,3.295150375366211,26.981468200683594,0.039,1000,3.295150375366211,nan,nan,nan,nan
2250,153.85,0.00029887268003971464,3.2960322530759774,2472942.8,3647.3,3.2959658101045295,27.00348472595215,2009000,3.294948211669922,26.97601318359375,0.024,1000,3.294948211669922,nan,nan,nan,nan
2500,166.85,0.0002985814701866544,3.295907147036761,2473212.3,3647.3,3.296002706570433,27.00447654724121,2009000,3.296026351928711,27.00511932373047,0.051,1000,3.296026351928711,nan,nan,nan,nan
2750,179.86,0.00029825703584579174,3.296415166618795,2470202.1,3647.3,3.2960196148581384,27.004932403564453,2009000,3.2962035369873046,27.009904861450195,0.037,1000,3.2962035369873046,nan,nan,nan,nan
3000,192.87,0.00029789945771068973,3.296523703812895,2470732.7,3647.3,3.295933113489298,27.002595901489258,2009000,3.2955755615234374,26.99294662475586,0.044,1000,3.2955755615234374,nan,nan,nan,nan
3250,205.89,0.00029750882471846207,3.2964311112942206,2468171.6,3647.3,3.2959441886510703,27.002899169921875,2009000,3.2966509094238283,27.021987915039062,0.046,1000,3.2966509094238283,nan,nan,nan,nan
3500,218.91,0.0002970852340276523,3.296486001487814,2470544.6,3647.3,3.295937344449975,27.00271224975586,2009000,3.296584991455078,27.02021026611328,0.035,1000,3.296584991455078,nan,nan,nan,nan
3750,231.93,0.00029662879099406843,3.296506008473211,2468419.7,3647.3,3.295970352165256,27.00360679626465,2009000,3.2953999938964844,26.988204956054688,0.047,1000,3.2953999938964844,nan,nan,nan,nan
4000,244.92,0.00029613960914457913,3.296427390498648,2473653.8,3647.3,3.29593406234445,27.002622604370117,2009000,3.2948754119873045,26.97405242919922,0.037,1000,3.2948754119873045,nan,nan,nan,nan
4250,257.94,0.00029561781014887667,3.296536629400017,2469456.9,3647.3,3.295930282478845,27.002525329589844,2009000,3.295679016113281,26.99574089050293,0.032,1000,3.295679016113281,nan,nan,nan,nan
4500,271.01,0.00029506352378921564,3.296581606525135,2459357.6,3647.3,3.295911305375809,27.002010345458984,2009000,3.294948684692383,26.97602653503418,0.034,1000,3.294948684692383,nan,nan,nan,nan
