step,wall_clock_s,lr,train_loss_ema,tokens_per_s,peak_mem_mb,val_loss,val_ppl,n_tokens,masked_loss,masked_ppl,masked_acc,n_masked_tokens,masked_loss_pos0,masked_loss_pos1,masked_loss_pos2,masked_loss_pos3,masked_loss_pos4
250,36.36,0.00029999932844052436,3.296356140589724,271772.7,838.9,3.2961761537286063,27.00916290283203,409000,3.2949605102539063,26.976348876953125,0.032,1000,3.2949605102539063,nan,nan,nan,nan
500,40.26,0.00029997582456041454,3.296105497961624,406247.2,794.4,3.296125162362469,27.00778579711914,409000,3.2933586120605467,26.933168411254883,0.041,1000,3.2933586120605467,nan,nan,nan,nan
750,44.12,0.0002999187493875913,3.2960852469727056,1694262.2,794.4,3.2961401283618583,27.008190155029297,409000,3.2953145294189454,26.98590087890625,0.043,1000,3.2953145294189454,nan,nan,nan,nan
1000,47.94,0.00029982811711783624,3.2960354343658076,1715854.6,794.4,3.2960376298899754,27.005422592163086,409000,3.295282989501953,26.98505210876465,0.046,1000,3.295282989501953,nan,nan,nan,nan
1250,51.81,0.0002997039502932784,3.296009708320996,1688903.0,794.4,3.296184033083741,27.009376525878906,409000,3.2952735595703126,26.98479461669922,0.032,1000,3.2952735595703126,nan,nan,nan,nan
1500,55.63,0.00029954627979678766,3.2959284850727153,1713095.3,794.4,3.296268490220049,27.011655807495117,409000,3.2965187530517577,27.01841926574707,0.044,1000,3.2965187530517577,nan,nan,nan,nan
1750,59.43,0.00029935514484429314,3.295909562461327,1721647.3,794.4,3.2962166010849634,27.010251998901367,409000,3.294473297119141,26.963211059570312,0.037,1000,3.294473297119141,nan,nan,nan,nan
2000,63.23,0.00029913059297502996,3.295767540928087,1724491.7,794.4,3.296361495262836,27.01416778564453,409000,3.294794708251953,26.971878051757812,0.037,1000,3.294794708251953,nan,nan,nan,nan
2250,67.05,0.00029887268003971464,3.295740092396186,1711501.5,794.4,3.2964625515739607,27.01689910888672,409000,3.2977136993408203,27.050724029541016,0.044,1000,3.2977136993408203,nan,nan,nan,nan
2500,70.84,0.0002985814701866544,3.295739416321758,1726241.9,794.4,3.2967751375305623,27.025344848632812,409000,3.2917614593505857,26.890186309814453,0.038,1000,3.2917614593505857,nan,nan,nan,nan
2750,74.68,0.00029825703584579174,3.295490514333089,1705957.4,794.4,3.296705006494499,27.02345085144043,409000,3.2942093200683593,26.95608901977539,0.04,1000,3.2942093200683593,nan,nan,nan,nan
3000,78.53,0.00029789945771068973,3.2953556319851014,1700828.6,794.4,3.29672792825489,27.02406883239746,409000,3.2959210052490233,27.002273559570312,0.04,1000,3.2959210052490233,nan,nan,nan,nan
3250,82.31,0.00029750882471846207,3.2951286907232,1729119.0,794.4,3.297105764822738,27.034282684326172,409000,3.296197250366211,27.009729385375977,0.032,1000,3.296197250366211,nan,nan,nan,nan
3500,86.11,0.0002970852340276523,3.294986741025947,1722960.3,794.4,3.2969934863997556,27.031246185302734,409000,3.294366470336914,26.960325241088867,0.043,1000,3.294366470336914,nan,nan,nan,nan
3750,90.02,0.00029662879099406843,3.294882001089999,1674880.1,794.4,3.297502464089242,27.04500961303711,409000,3.296426467895508,27.015926361083984,0.032,1000,3.296426467895508,nan,nan,nan,nan
4000,93.81,0.00029613960914457913,3.294719856964923,1724627.5,794.4,3.297359642420538,27.041147232055664,409000,3.2970320587158204,27.032291412353516,0.03,1000,3.2970320587158204,nan,nan,nan,nan
4250,97.59,0.00029561781014887667,3.2944252118842057,1730058.1,794.4,3.2979745568459657,27.05777931213379,409000,3.296279327392578,27.011951446533203,0.033,1000,3.296279327392578,nan,nan,nan,nan
