step,wall_clock_s,lr,train_loss_ema,tokens_per_s,peak_mem_mb,val_loss,val_ppl,n_tokens,masked_loss,masked_ppl,masked_acc,n_masked_tokens,masked_loss_pos0,masked_loss_pos1,masked_loss_pos2,masked_loss_pos3,masked_loss_pos4
250,49.59,0.00029992771930930934,3.247484301742678,908361.2,3731.0,3.241708456607495,25.577383041381836,2028000,3.310767883300781,27.40616226196289,0.0342,5000,3.310237548828125,3.2936520080566405,3.2894733428955076,3.285103271484375,3.375373352050781
500,62.81,0.0002974060128544361,3.234912689867439,1209576.0,3698.4,3.2344501818293887,25.392404556274414,2028000,3.264771630859375,26.174135208129883,0.035,5000,3.270342041015625,3.2612306365966797,3.2634692687988283,3.2633760833740233,3.265439956665039
750,76.02,0.00029134730011223895,3.234129515199352,2455732.4,3698.4,3.233898838141026,25.3784122467041,2028000,3.2610182861328125,26.07607650756836,0.0418,5000,3.260876998901367,3.261875,3.2585584259033205,3.260910949707031,3.262870071411133
1000,89.25,0.0002819134295108992,3.2332357147028037,2451731.9,3698.4,3.2330067184418145,25.35577964782715,2028000,3.2650485107421874,26.181381225585938,0.036,5000,3.2679041137695313,3.2592543334960937,3.2634633178710937,3.2640926055908204,3.270528396606445
1250,102.45,0.0002693564112039695,3.2340301360468406,2458354.8,3698.4,3.2331968688362918,25.360605239868164,2028000,3.263894152832031,26.151174545288086,0.0352,5000,3.267865203857422,3.264338073730469,3.2627230072021485,3.262528045654297,3.262016525268555
1500,115.62,0.00025401168503850927,3.2331182463296564,2464584.0,3698.4,3.232760293392505,25.349529266357422,2028000,3.264502551269531,26.167089462280273,0.0396,5000,3.2670863037109377,3.259654052734375,3.2650325622558594,3.2660037841796874,3.264736145019531
1750,128.85,0.00023628915983779967,3.2330935677994335,2453391.7,3698.4,3.232290665064103,25.33763313293457,2028000,3.2614912109375,26.08841323852539,0.0374,5000,3.260887985229492,3.2586627349853514,3.253781921386719,3.2686019439697267,3.2655216064453123
2000,142.07,0.00021666226336928708,3.2329206187348176,2453613.4,3698.4,3.2326933401134124,25.347837448120117,2028000,3.261834533691406,26.09737205505371,0.0374,5000,3.2632421875,3.2595092163085937,3.257988494873047,3.263057861328125,3.2653748779296876
2250,155.25,0.00019565529550964037,3.2335532771860143,2462180.5,3698.4,3.233191321499014,25.36046028137207,2028000,3.2609626220703123,26.074626922607422,0.039,5000,3.259925201416016,3.259392333984375,3.2590726470947264,3.2637154235839843,3.26270703125
2500,168.41,0.0001738294224460693,3.2326742239740236,2464898.0,3698.4,3.2326632920364893,25.347076416015625,2028000,3.264469775390625,26.166234970092773,0.0362,5000,3.2708395843505857,3.2630869750976563,3.2601594848632813,3.2655833892822264,3.2626793975830077
2750,181.58,0.0001517676860555093,3.2329786749873564,2465064.7,3698.4,3.233136156311637,25.35906219482422,2028000,3.2612212158203127,26.08136749267578,0.0362,5000,3.2615557098388672,3.2603572692871094,3.2586646881103514,3.2625712890625,3.2629573822021483
3000,194.74,0.00013005942891115968,3.2322504161413614,2465908.2,3698.4,3.2326898884368838,25.347747802734375,2028000,3.2604593627929686,26.061508178710938,0.0372,5000,3.262153381347656,3.259608688354492,3.260667724609375,3.2601553802490235,3.2597116088867186
3250,207.89,0.0001092845509764067,3.2322394026443457,2466222.4,3698.4,3.2333220383382644,25.363779067993164,2028000,3.259991467285156,26.049312591552734,0.0418,5000,3.259652114868164,3.2577783660888673,3.259488037109375,3.262352722167969,3.260686065673828
3500,221.05,8.999801854235373e-05,3.23177241436592,2465614.1,3698.4,3.2333955097386586,25.365642547607422,2028000,3.261232275390625,26.0816593170166,0.0418,5000,3.2630415649414064,3.2595231628417967,3.260475875854492,3.263066604614258,3.260054214477539
3750,234.21,7.271503922691237e-05,3.231553155749431,2466552.8,3698.4,3.233717532667653,25.373807907104492,2028000,3.259192724609375,26.02851676940918,0.0408,5000,3.259108581542969,3.2587948303222656,3.2592624359130857,3.2615872955322267,3.257210540771484
4000,247.39,5.789729906068326e-05,3.23148625911693,2462903.7,3698.4,3.2338815181213016,25.37796974182129,2028000,3.2599013671875,26.046966552734375,0.038,5000,3.25907568359375,3.260061950683594,3.259811325073242,3.2603689117431642,3.2601888427734376
4250,260.54,4.5940629312972085e-05,3.2314354567390837,2465792.6,3698.4,3.234052822978304,25.382320404052734,2028000,3.260539990234375,26.063608169555664,0.0362,5000,3.2613081665039063,3.261583450317383,3.2601730651855467,3.260360046386719,3.2592752532958986
4500,273.72,3.7164432518160744e-05,3.23127365208118,2463320.9,3698.4,3.2340747657790927,25.382877349853516,2028000,3.26074697265625,26.069002151489258,0.0384,5000,3.2619987335205076,3.261338394165039,3.259261947631836,3.261125274658203,3.2600104217529298
4750,286.89,3.180315016854134e-05,3.2311508054418954,2462905.7,3698.4,3.234319233851085,25.389081954956055,2028000,3.2597581665039064,26.04323959350586,0.0372,5000,3.260328857421875,3.2587823333740236,3.2586393280029298,3.261379623413086,3.2596604766845703
5000,300.07,2.9999999999999997e-05,3.231254539771332,2462971.2,3698.4,3.2342535133136097,25.38741111755371,2028000,3.2608135009765626,26.070735931396484,0.0358,5000,3.262084976196289,3.2613473052978517,3.2599746856689453,3.260365737915039,3.2602945404052734
