step,wall_clock_s,lr,train_loss_ema,tokens_per_s,peak_mem_mb,val_loss,val_ppl,n_tokens,masked_loss,masked_ppl,masked_acc,n_masked_tokens,masked_loss_pos0,masked_loss_pos1,masked_loss_pos2,masked_loss_pos3,masked_loss_pos4
250,39.98,0.00029992771930930934,3.1791814089099875,313938.1,1054.1,3.171503299597538,23.84330177307129,528000,3.2758078857421875,26.464595794677734,0.0362,5000,3.2780096588134766,3.271603744506836,3.279001235961914,3.274546890258789,3.2758781280517577
500,45.06,0.0002974060128544361,3.1614187329494436,467800.1,1010.1,3.162307528409091,23.62504768371582,528000,3.26663427734375,26.222930908203125,0.0342,5000,3.2649769744873045,3.264343215942383,3.2647696838378906,3.2697898559570313,3.269291748046875
750,50.12,0.00029134730011223895,3.158656419236532,1670385.2,1010.1,3.157120723839962,23.502826690673828,528000,3.2658442626953126,26.202224731445312,0.0396,5000,3.2656284790039063,3.266782730102539,3.2649141845703125,3.2652114715576173,3.266684616088867
1000,55.18,0.0002819134295108992,3.1570072093759447,1667021.9,1010.1,3.1592387251420453,23.552661895751953,528000,3.2642558837890623,26.160640716552734,0.0376,5000,3.265789810180664,3.263790557861328,3.266940704345703,3.263397521972656,3.261360931396484
1250,60.19,0.0002693564112039695,3.1556468022586497,1687175.0,1010.1,3.159639130563447,23.562091827392578,528000,3.2693560913085937,26.294401168823242,0.0366,5000,3.270495361328125,3.266023696899414,3.271110092163086,3.2673023986816405,3.271849090576172
1500,65.21,0.00025401168503850927,3.154856519458022,1682027.4,1010.1,3.162895256273674,23.63893699645996,528000,3.265529150390625,26.193967819213867,0.0398,5000,3.266807876586914,3.2701998291015624,3.2626867065429686,3.2635416564941404,3.264409698486328
1750,70.23,0.00023628915983779967,3.154518368174203,1682651.4,1010.1,3.1651838600852273,23.693098068237305,528000,3.261435693359375,26.086963653564453,0.0364,5000,3.2595111236572265,3.265566604614258,3.2631641540527343,3.259090545654297,3.259845794677734
2000,75.24,0.00021666226336928708,3.15493734172348,1686887.8,1010.1,3.1617230113636365,23.61124038696289,528000,3.2624420166015624,26.113231658935547,0.0378,5000,3.2642220153808594,3.2610952911376954,3.2615139465332033,3.2618777465820314,3.263501190185547
2250,80.29,0.00019565529550964037,3.1559164470072623,1673860.7,1010.1,3.1666899562026516,23.728809356689453,528000,3.260887255859375,26.072656631469727,0.0408,5000,3.2633824615478515,3.26312370300293,3.260421478271484,3.2581438293457032,3.259365005493164
2500,85.3,0.0001738294224460693,3.1530525363749033,1687061.5,1010.1,3.1677036280776516,23.75287628173828,528000,3.263586962890625,26.143144607543945,0.0336,5000,3.263498291015625,3.26273371887207,3.2650201416015623,3.2654788360595703,3.261204132080078
2750,90.33,0.0001517676860555093,3.1535951049367466,1680370.7,1010.1,3.1674929421164775,23.74787139892578,528000,3.260846875,26.07160758972168,0.039,5000,3.259895080566406,3.2621825714111328,3.2620453338623046,3.260864303588867,3.259247131347656
3000,95.36,0.00013005942891115968,3.15356279368771,1678897.6,1010.1,3.166433682528409,23.722728729248047,528000,3.263044934082031,26.12897491455078,0.04,5000,3.2626932678222658,3.2657093200683596,3.2663077087402344,3.259756103515625,3.2607584381103516
3250,100.38,0.0001092845509764067,3.151809451376434,1683114.2,1010.1,3.169653409090909,23.79923439025879,528000,3.2600896484375,26.05187225341797,0.0418,5000,3.259356506347656,3.260810607910156,3.2590240936279296,3.260259063720703,3.260998031616211
3500,105.41,8.999801854235373e-05,3.1516938357702897,1678313.1,1010.1,3.170286103219697,23.814298629760742,528000,3.261470593261719,26.087873458862305,0.035,5000,3.262651870727539,3.2616043548583984,3.2616299743652344,3.2622418060302736,3.259224609375
3750,110.42,7.271503922691237e-05,3.1512690708181075,1687068.2,1010.1,3.1705857451467803,23.821430206298828,528000,3.2604588134765624,26.06148910522461,0.0374,5000,3.2613379364013673,3.262810806274414,3.259726577758789,3.2597945861816404,3.2586242065429687
4000,115.44,5.789729906068326e-05,3.1524645794693145,1683201.1,1010.1,3.1687166933001896,23.77695083618164,528000,3.2611579345703126,26.07971954345703,0.0346,5000,3.264789306640625,3.2624517822265626,3.2612709045410155,3.2598097381591797,3.2574681701660158
4250,120.46,4.5940629312972085e-05,3.151018262106268,1681152.5,1010.1,3.170710360440341,23.82440185546875,528000,3.2599091064453125,26.047170639038086,0.0412,5000,3.2625155029296873,3.25997265625,3.259058883666992,3.2595371398925783,3.2584615478515624
4500,125.5,3.7164432518160744e-05,3.150921289198533,1677965.0,1010.1,3.1708104728929922,23.8267879486084,528000,3.260375048828125,26.059309005737305,0.043,5000,3.2619067840576172,3.260773696899414,3.260869369506836,3.2594997863769533,3.258825668334961
4750,130.54,3.180315016854134e-05,3.1508609555303098,1676733.6,1010.1,3.1707032137784092,23.824230194091797,528000,3.26066044921875,26.06674575805664,0.0384,5000,3.261444839477539,3.261397933959961,3.259157028198242,3.2607570953369143,3.2605451202392577
5000,135.54,2.9999999999999997e-05,3.150348191721755,1687139.0,1010.1,3.1709194187973484,23.829383850097656,528000,3.2600035888671877,26.04962921142578,0.0422,5000,3.261248260498047,3.2606752319335937,3.2604353790283205,3.258677978515625,3.2589803466796874
