step,wall_clock_s,lr,train_loss_ema,tokens_per_s,peak_mem_mb,val_loss,val_ppl,n_tokens,masked_loss,masked_ppl,masked_acc,n_masked_tokens,masked_loss_pos0,masked_loss_pos1,masked_loss_pos2,masked_loss_pos3,masked_loss_pos4
250,28.68,0.00029992771930930934,2.229443608348367,1685100.4,3717.4,2.142519067834925,8.520874977111816,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
500,45.07,0.0002974060128544361,1.719624137581092,1279620.8,3717.4,1.7923239248770255,6.003387928009033,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
750,61.47,0.00029134730011223895,1.5492826880191757,1997624.7,3717.4,1.67316323739511,5.328998565673828,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
1000,77.87,0.0002819134295108992,1.454589757251167,1999002.7,3717.4,1.5885278207284432,4.8965349197387695,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
1250,94.27,0.0002693564112039695,1.3958676079655572,1997574.8,3717.4,1.5499095210322626,4.711043834686279,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
1500,110.66,0.00025401168503850927,1.361021622213583,1999854.2,3717.4,1.5309359232584636,4.622500896453857,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
1750,127.05,0.00023628915983779967,1.3284126939474503,1999248.8,3717.4,1.5087856716579862,4.521237373352051,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
2000,143.46,0.00021666226336928708,1.3064360244591549,1995821.7,3717.4,1.502308033130787,4.492044925689697,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
2250,159.88,0.00019565529550964037,1.2907984308840232,1996644.2,3717.4,1.4838392469618056,4.409843921661377,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
2500,176.28,0.0001738294224460693,1.2696858846600976,1997956.4,3717.4,1.4831938566984955,4.406998634338379,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
2750,192.67,0.0001517676860555093,1.2541225885832514,1998800.3,3717.4,1.478255377875434,4.385288238525391,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
3000,209.07,0.00013005942891115968,1.2418196068281013,1998584.3,3717.4,1.4746073970088251,4.369319915771484,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
3250,225.47,0.0001092845509764067,1.2333189338477335,1997643.7,3717.4,1.4738974394621673,4.3662190437316895,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
3500,241.86,8.999801854235373e-05,1.2259571812622336,1998874.5,3717.4,1.4674320927372686,4.338081359863281,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
3750,258.27,7.271503922691237e-05,1.2190766516928044,1997600.1,3717.4,1.4644562050148293,4.325190544128418,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
4000,274.66,5.789729906068326e-05,1.2113368814618721,1999342.3,3717.4,1.4658385382758246,4.331173419952393,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
4250,290.99,4.5940629312972085e-05,1.207989364553051,2006347.2,3717.4,1.4677358556676794,4.339399337768555,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
4500,307.35,3.7164432518160744e-05,1.2028768298149772,2003552.3,3717.4,1.464071203161169,4.323525428771973,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
4750,323.72,3.180315016854134e-05,1.2001393637809428,2001071.4,3717.4,1.4655996251989294,4.33013916015625,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
5000,340.07,2.9999999999999997e-05,1.1973917032231705,2004232.8,3717.4,1.4644769739221644,4.32528018951416,110592,nan,nan,nan,0,nan,nan,nan,nan,nan
